epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,761.677,1.45276,1.56319,1.71238,0.4816,0.41129,0.38365,0.16022,1.02364,5.84408,1.2252,0.000198206,0.000198206,0.000198206
91,771.095,1.5917,1.77721,1.90519,0.48348,0.45891,0.40673,0.16792,1.00758,5.59534,1.19822,0.000181703,0.000181703,0.000181703
92,779.498,1.56594,1.6244,1.90566,0.49327,0.48922,0.47548,0.19964,1.01415,4.35938,1.21782,0.0001652,0.0001652,0.0001652
93,787.907,1.53539,1.60015,1.8665,0.47192,0.49885,0.44146,0.18088,1.02394,4.67717,1.22106,0.000148696,0.000148696,0.000148696
94,796.262,1.54384,1.59279,1.85957,0.43541,0.52563,0.45922,0.17583,1.02654,4.65998,1.20776,0.000132193,0.000132193,0.000132193
95,804.609,1.48507,1.53186,1.8368,0.45975,0.50605,0.43029,0.16431,1.06278,5.86913,1.24038,0.00011569,0.00011569,0.00011569
96,812.96,1.49339,1.53235,1.84586,0.40082,0.52218,0.42387,0.1553,1.07978,6.10826,1.26149,9.91865e-05,9.91865e-05,9.91865e-05
97,821.685,1.47966,1.50955,1.82047,0.45977,0.49348,0.4189,0.15298,1.0869,6.16148,1.26254,8.26832e-05,8.26832e-05,8.26832e-05
98,830.028,1.47884,1.48774,1.83749,0.48433,0.51325,0.42555,0.14896,1.08782,5.6973,1.2624,6.61799e-05,6.61799e-05,6.61799e-05
99,838.364,1.46406,1.47994,1.83266,0.47753,0.47033,0.43354,0.16089,1.07613,5.45551,1.24314,4.96766e-05,4.96766e-05,4.96766e-05
100,846.693,1.48535,1.47384,1.82105,0.43496,0.5184,0.4271,0.16091,1.07169,5.44036,1.23988,3.31733e-05,3.31733e-05,3.31733e-05
